category,book_name,author,source,reason
Nonfiction,Hamilton: The Revolution,John D. Barnhart,OpenLibrary,
Nonfiction,Brain on Fire: My Month of Madness,Paul Adams / Bookhabits,OpenLibrary,
Nonfiction,Abstract City,J. E. Carlock,OpenLibrary,
Nonfiction,The Diary of a Young Girl,Anne Frank,OpenLibrary,
Nonfiction,"Mother, Can You Not?",Kate Friedman,OpenLibrary,
Nonfiction,"Zero to One: Notes on Startups, or How to Build the Future",Whizbooks,OpenLibrary,
Nonfiction,Why Not Me?,Mindy Kaling,OpenLibrary,
Nonfiction,When Breath Becomes Air,Paul Kalanithi,OpenLibrary,
Nonfiction,Smarter Faster Better: The Secrets of Being Productive in Life and Business,Worth Books,OpenLibrary,
Nonfiction,Rising Strong,Brené Brown,OpenLibrary,
Nonfiction,Man's Search for Meaning,Viktor E. Frankl,OpenLibrary,
Nonfiction,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Ron Fournier,OpenLibrary,
Nonfiction,I Will Find You,Harlan Coben,OpenLibrary,
Nonfiction,Between the World and Me,Ta-Nehisi Coates,OpenLibrary,
Nonfiction,Being Mortal: Medicine and What Matters in the End,EssentialReads,OpenLibrary,
Nonfiction,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,OpenLibrary,
Nonfiction,In Cold Blood,Truman Capote,OpenLibrary,
Nonfiction,"Girl, Interrupted",Susanna Kaysen,OpenLibrary,
Nonfiction,My Mother Was Nuts,Penny Marshall,OpenLibrary,
Nonfiction,The Gunning of America: Business and the Making of American Gun Culture,Pamela Haag,OpenLibrary,
Nonfiction,Under the Banner of Heaven: A Story of Violent Faith,Jon Jon,OpenLibrary,
Nonfiction,The Name of God is Mercy,Francis Pope,OpenLibrary,
Nonfiction,Stiff: The Curious Lives of Human Cadavers,Worth Books,OpenLibrary,
Nonfiction,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Worth Books,OpenLibrary,
Nonfiction,Outliers: The Story of Success,BookCaps Study Guides Staff,OpenLibrary,
Nonfiction,Letter to a Christian Nation,Sam Harris,OpenLibrary,
Nonfiction,Into the Wild,Erin Hunter,OpenLibrary,
Nonfiction,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,OpenLibrary,
Nonfiction,Gratitude,Motwani Dev Motwani Dev Publishing,OpenLibrary,
Nonfiction,Brave Enough,Cheryl Strayed,OpenLibrary,
Nonfiction,Black Flags: The Rise of ISIS,Worth Books,OpenLibrary,
Nonfiction,Are We Smart Enough to Know How Smart Animals Are?,Frans De Waal,OpenLibrary,
Nonfiction,Kindle Paperwhite User's Guide,Jose Emiel,OpenLibrary,
Nonfiction,H is for Hawk,Helen Macdonald,OpenLibrary,
Nonfiction,The Tumor,Robert Carachi,OpenLibrary,
Nonfiction,"Eat, Pray, Love",Elizabeth Gilbert,OpenLibrary,
Music,Rip it Up and Start Again,Simon Reynolds,OpenLibrary,
Music,How Music Works,David Byrne,OpenLibrary,
Music,"Chronicles, Vol. 1",Fabien Nury,OpenLibrary,
Music,No One Here Gets Out Alive,Jerry Hopkins,OpenLibrary,
Music,Life,Irving Stone,OpenLibrary,
Default,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,BookNation,OpenLibrary,
Default,Aladdin and His Wonderful Lamp,Alan Brown,OpenLibrary,
Default,Penny Maybe,Kathleen Martin,OpenLibrary,
Default,Soul Reader,David Brackett,OpenLibrary,
Default,Bossypants,Tina Fey,OpenLibrary,
Default,Tracing Numbers on a Train,James McDonald,OpenLibrary,
Default,Thirteen Reasons Why,Jay Asher,OpenLibrary,
Default,The Secret (The Secret #1),Pseudonymous Bosch,OpenLibrary,
Default,The Kite Runner,Khaled Hosseini,OpenLibrary,
Default,The Girl on the Train,Paula Hawkins,OpenLibrary,
Default,The Emerald Mystery,j. a. lath,OpenLibrary,
Default,The Art of War,孙武,OpenLibrary,
Default,Grumbles,Roger Hargreaves,OpenLibrary,
Default,Ayumi's Violin,Mariko Tatsumoto,OpenLibrary,
Default,Anonymous,Somme Sketcher,OpenLibrary,
Default,Amy Meets the Saints and Sages,Ernie Rosenberg,OpenLibrary,
Default,Amatus,Maite López Las Heras,OpenLibrary,
Default,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",K. D. Phillips,OpenLibrary,
Default,The Wright Brothers,David McCullough,OpenLibrary,
Default,The Songs of the Gods,Dimitrios Spyridon Chytiris,OpenLibrary,
Default,Steve Jobs,Walter Isaacson,OpenLibrary,
Default,Luckiest Girl Alive,Jessica Knoll,OpenLibrary,
Default,Every Last Word,Tamara Ireland Stone,OpenLibrary,
Default,Daily Fantasy Sports,Jay Correia,OpenLibrary,
Default,"Carry On, Warrior: Thoughts on Life Unarmed",Glennon Melton,OpenLibrary,
Default,Carrie,Stephen King,OpenLibrary,
Default,"The Three Searches, Meaning, and the Story",John H.T. Francis,OpenLibrary,
Default,Raspberry Pi Electronics Projects for the Evil Genius,"Norris, Donald (Electrical engineer)",OpenLibrary,
Default,Eleanor & Park,Rainbow Rowell,OpenLibrary,
Default,Adultery,Tess Stimson,OpenLibrary,
Default,Unlimited Intuition Now,Catherine Carrigan,OpenLibrary,
Default,Underlying Notes,Eva Pasco,OpenLibrary,
Default,The Flowers Lied,Michael Goldberg,OpenLibrary,
Default,Modern Day Fables,Jason Petersen,OpenLibrary,
Default,Left Behind (Left Behind #1),Jerry B. Jenkins,OpenLibrary,
Default,I'll Give You the Sun,Jandy Nelson,OpenLibrary,
Default,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,OpenLibrary,
Default,Death by Leisure: A Cautionary Tale,Chris Ayres,OpenLibrary,
Default,The Great Gatsby,F. Scott Fitzgerald,OpenLibrary,
Default,The Good Girl,Mary Kubica,OpenLibrary,
Default,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Whizbooks,OpenLibrary,
Default,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,OpenLibrary,
Default,Life of Pi,Yann Martel,OpenLibrary,
Default,The Sound Of Love,Norma Frances Greco,OpenLibrary,
Default,The Perks of Being a Wallflower,Stephen Chbosky,OpenLibrary,
Default,The Makings of a Fatherless Child,Chandler Alexander,OpenLibrary,
Default,Musicophilia: Tales of Music and the Brain,Key Key Summaries,OpenLibrary,
Default,The Fault in Our Stars,John Green,OpenLibrary,
Default,The 5th Wave (The 5th Wave #1),Richard Yancey,OpenLibrary,
Default,Remember Me?,Christopher Pike,OpenLibrary,
Default,Fool Me Once,Harlan Coben,OpenLibrary,
Default,Drama,Raina Telgemeier,OpenLibrary,
Default,World War Z: An Oral History of the Zombie War,Max Brooks,OpenLibrary,
Default,Wild: From Lost to Found on the Pacific Crest Trail,Whizbooks,OpenLibrary,
Default,"Where'd You Go, Bernadette",Maria Semple,OpenLibrary,
Default,Twilight (Twilight #1),David Preti,OpenLibrary,
Default,The Paris Wife,Paula McLain,OpenLibrary,
Default,The Lover's Dictionary,David Levithan,OpenLibrary,
Default,The Goldfinch,Donna Tartt,OpenLibrary,
Default,The Book Thief,Markus Zusak,OpenLibrary,
Default,The Autobiography of Malcolm X,Harold Bloom,OpenLibrary,
Default,Quiet: The Power of Introverts in a World That Can't Stop Talking,Book Junkie,OpenLibrary,
Default,Orange Is the New Black,Piper Kerman,OpenLibrary,
Default,Life After Life,Raymond A. Moody,OpenLibrary,
Default,"Lean In: Women, Work, and the Will to Lead",Worth Books,OpenLibrary,
Default,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,OpenLibrary,
Default,Gone Girl,Gillian Flynn,OpenLibrary,
Default,Fellside,M. R. Carey,OpenLibrary,
Default,Dracula,Bram Stoker,OpenLibrary,
Default,Dark Places,Gillian Flynn,OpenLibrary,
Default,A Visit from the Goon Squad,Jennifer Egan,OpenLibrary,
Default,The Zombie Room,R. D. Ronald,OpenLibrary,
Default,Jane Eyre,Charlotte Brontë,OpenLibrary,
Default,Frankenstein,Mary Shelley,OpenLibrary,
Science Fiction,Join,Johanna Lindsey,OpenLibrary,
Science Fiction,The Project,Graeme Simsion,OpenLibrary,
Science Fiction,Soft Apocalypse,Will McIntosh,OpenLibrary,
Science Fiction,Arena,Booth Tarkington,OpenLibrary,
Science Fiction,Ready Player One,Ernest Cline,OpenLibrary,
Science Fiction,Dune (Dune #1),Brian Herbert,OpenLibrary,
Add a comment,The Art Forger,Eric Hebborn,OpenLibrary,
Add a comment,On a Midnight Clear,Bruce Hammack,OpenLibrary,
Add a comment,Modern Romance,Aziz Ansari,OpenLibrary,
Add a comment,The Song of Achilles,Madeline Miller,OpenLibrary,
Add a comment,The Immortal Life of Henrietta Lacks,Rebecca Skloot,OpenLibrary,
Add a comment,The Dovekeepers,Alice Hoffman,OpenLibrary,
Add a comment,Cell,Kwang W. Jeon,OpenLibrary,
Add a comment,A People's History of the United States,Howard Zinn,OpenLibrary,
Add a comment,Rook,Daniel O'Malley,OpenLibrary,
Add a comment,The Children,Edith Nesbit,OpenLibrary,
Add a comment,Without Shame,Dennis Craig Smith,OpenLibrary,
Add a comment,Watchmen,Alan Moore,OpenLibrary,
Add a comment,The Glass Castle,Jeannette Walls,OpenLibrary,
Add a comment,The Drowning Girls,Caitlín R. Kiernan,OpenLibrary,
Add a comment,John Adams,David McCullough,OpenLibrary,
Add a comment,The Joy of Cooking,Irma S. Rombauer,OpenLibrary,
Add a comment,The God Delusion,Richard Dawkins,OpenLibrary,
Add a comment,Pride and Prejudice,Jane Austen,OpenLibrary,
Add a comment,Mere Christianity,C.S. Lewis,OpenLibrary,
Add a comment,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,OpenLibrary,
Add a comment,The Complete Poems,Anne Sexton,OpenLibrary,
Add a comment,The Catcher in the Rye,J. D. Salinger,OpenLibrary,
Add a comment,The Case for Christ (Cases for Christianity),Immanuel Bourne,OpenLibrary,
Add a comment,Seven Days in the Art World,Sarah Thornton,OpenLibrary,
Add a comment,Sarah's Key,Tatiana de Rosnay,OpenLibrary,
Add a comment,Manuscript Found in Accra,Paulo Coelho,OpenLibrary,
Add a comment,Cosmos,Alexander von Humboldt,OpenLibrary,
Add a comment,#GIRLBOSS,Celeste Bradley Designs,OpenLibrary,
Add a comment,The Sense of an Ending,Julian Barnes,OpenLibrary,
Add a comment,The Republic,Drew Karpyshyn,OpenLibrary,
Add a comment,The Odyssey,Όμηρος,OpenLibrary,
Add a comment,The Light of the Fireflies,Paul Pen,OpenLibrary,
Add a comment,The Iliad,Όμηρος,OpenLibrary,
Add a comment,The Communist Manifesto,David Boyle,OpenLibrary,
Add a comment,Lord of the Flies,William Golding,OpenLibrary,
Fantasy,Unicorn Tracks,Julia Ember,OpenLibrary,
Fantasy,Masks and Shadows,Winifred H. Mills,OpenLibrary,
Fantasy,A Court of Thorns and Roses (A Court of Thorns and Roses #1),Sarah J. Maas,OpenLibrary,
Fantasy,The Star-Touched Queen,Roshani Chokshi,OpenLibrary,
Fantasy,Searching for Meaning in Gailana,John H. T. Francis,OpenLibrary,
Fantasy,The Star-Touched Queen,Roshani Chokshi,OpenLibrary,
Fantasy,King's Folly (The Kinsman Chronicles #1),Jill Williamson,OpenLibrary,
Fantasy,Tell the Wind and Fire,Sarah Rees Brennan,OpenLibrary,
Fantasy,Heir to the Sky,Amanda Sun,OpenLibrary,
Fantasy,Ash,Frank McCourt,OpenLibrary,
Fantasy,Vampire Girl (Vampire Girl #1),Chloe Neill,OpenLibrary,
New Adult,Shameless,Kiki Swinson,OpenLibrary,
Young Adult,The Requiem Red,Brynn Chapman,OpenLibrary,
Young Adult,Set Me Free,Jay Dee,OpenLibrary,
Young Adult,Burning,Jack London,OpenLibrary,
Young Adult,A Fierce and Subtle Poison,Samantha Mabry,OpenLibrary,
Young Adult,Scarlett Epstein Hates It Here,Anna Breslaw,OpenLibrary,
Young Adult,"Nightingale, Sing",Monica Dickens,OpenLibrary,
Young Adult,Wild Swans,Jung Chang,OpenLibrary,
Young Adult,This Is Where It Ends,Marieke Nijkamp,OpenLibrary,
Young Adult,The Darkest Lie,Gena Showalter,OpenLibrary,
Young Adult,My Kind of Crazy,Robin Reul,OpenLibrary,
Young Adult,Don't Get Caught,Kurt Dinan,OpenLibrary,
Young Adult,"Exit, Pursued by a Bear",E. K. Johnston,OpenLibrary,
Young Adult,The Alien Club,Trel W Sidoruk,OpenLibrary,
Young Adult,Don't Forget Steven,P. D. Workman,OpenLibrary,
Young Adult,South of Sunshine,Dana Elmendorf,OpenLibrary,
Young Adult,My Life Next Door (My Life Next Door ),Huntley Fitzpatrick,OpenLibrary,
Young Adult,Tell the Wolves I'm Home,Carol Rifka Brunt,OpenLibrary,
Young Adult,"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",John Green,OpenLibrary,
Young Adult,Two Summers,Nora Roberts,OpenLibrary,
Young Adult,The Darkest Corners,Elizabeth Haynes,OpenLibrary,
Young Adult,Tell Me Three Things,Julie Buxbaum,OpenLibrary,
Young Adult,Kill the Boy Band,Goldy Moldavsky,OpenLibrary,
Young Adult,An Abundance of Katherines,John Green,OpenLibrary,
Young Adult,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Dollhouse,OpenLibrary,
Young Adult,Two Boys Kissing,David Levithan,OpenLibrary,
Young Adult,The New Guy (and Other Senior Year Distractions),Amy Spalding,OpenLibrary,
Young Adult,"The Land of 10,000 Madonnas",Kate Hattemer,OpenLibrary,
Young Adult,Legend (Legend #1),Gregory Mundy,OpenLibrary,
Young Adult,Boy Meets Boy,David Levithan,OpenLibrary,
Young Adult,Annie on My Mind,Nancy Garden,OpenLibrary,
Young Adult,The Haters,Thomas Shadwell,OpenLibrary,
Young Adult,The Art of Not Breathing,Sarah Alexander,OpenLibrary,
Science,The Origin of Species,Charles Darwin,OpenLibrary,
Science,The Grand Design,Stephen Hawking,OpenLibrary,
Science,Peak: Secrets from the New Science of Expertise,The Mindset Warrior,OpenLibrary,
Science,Seven Brief Lessons on Physics,Carlo Rovelli,OpenLibrary,
Science,The Selfish Gene,Richard Dawkins,OpenLibrary,
Poetry,A Light in the Attic,Shel Silverstein,OpenLibrary,
Poetry,The Black Maria,Aracelis Girmay,OpenLibrary,
Poetry,Shakespeare's Sonnets,William Shakespeare,OpenLibrary,
Poetry,Olio,Tyehimba Jess,OpenLibrary,
Poetry,Poems That Make Grown Women Cry,Anthony Holden,OpenLibrary,
Poetry,Night Sky with Exit Wounds,Ocean Vuong,OpenLibrary,
Poetry,salt.,Patricia Highsmith,OpenLibrary,
Poetry,Les Fleurs du Mal,Charles Baudelaire,OpenLibrary,
Poetry,Howl and Other Poems,Allen Ginsberg,OpenLibrary,
Poetry,The Crossover,Kwame Alexander,OpenLibrary,
Poetry,Booked,Donald Nguyen,OpenLibrary,
Poetry,Twenty Love Poems and a Song of Despair,J. Simon Harris,OpenLibrary,
Art,Wall and Piece,Banksy,OpenLibrary,
Art,The New Drawing on the Right Side of the Brain,Betty Edwards,OpenLibrary,
Art,History of Beauty,Umberto Eco,OpenLibrary,
Art,The Story of Art,E. H. Gombrich,OpenLibrary,
Art,The Art Book,Art Book,OpenLibrary,
Art,Ways of Seeing,John Berger,OpenLibrary,
Psychology,"Thinking, Fast and Slow",Daniel Kahneman,OpenLibrary,
Psychology,Civilization and Its Discontents,Sigmund Freud,OpenLibrary,
Psychology,8 Keys to Mental Health Through Exercise,Christina G. Hibbert,OpenLibrary,
Autobiography,The Argonauts,Maggie Nelson,OpenLibrary,
Autobiography,M Train,Patti Smith,OpenLibrary,
Autobiography,Lab Girl,Hope Jahren,OpenLibrary,
Autobiography,Running with Scissors,Augusten Burroughs,OpenLibrary,
Autobiography,Me Talk Pretty One Day,David Sedaris,OpenLibrary,
Autobiography,Lust & Wonder,James Mahoney,OpenLibrary,
Autobiography,Life Without a Recipe,Diana Abu-Jaber,OpenLibrary,
Autobiography,A Heartbreaking Work of Staggering Genius,Dave Eggers,OpenLibrary,
Humor,Dress Your Family in Corduroy and Denim,David Sedaris,OpenLibrary,
Humor,When You Are Engulfed in Flames,David Sedaris,OpenLibrary,
Humor,Naked,William S. Burroughs,OpenLibrary,
Humor,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,OpenLibrary,
Humor,Holidays on Ice,David Sedaris,OpenLibrary,
Horror,Security,Benjamin Graham,OpenLibrary,
Horror,Follow You Home,"Edwards, Mark (Fiction writer)",OpenLibrary,
