category,book_name,author
Nonfiction,Brave Enough,Cheryl Strayed
Nonfiction,Black Flags: The Rise of ISIS,Worth Books
Nonfiction,Are We Smart Enough to Know How Smart Animals Are?,Frans De Waal
Nonfiction,Kindle Paperwhite User's Guide,Jose Emiel
Nonfiction,H is for Hawk,Helen Macdonald
Nonfiction,The Tumor,Robert Carachi
Nonfiction,"Eat, Pray, Love",Elizabeth Gilbert
Music,Rip it Up and Start Again,Simon Reynolds
Music,How Music Works,David Byrne
Music,"Chronicles, Vol. 1",Fabien Nury
Music,No One Here Gets Out Alive,Jerry Hopkins
Music,Life,Irving Stone
Default,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,BookNation
Default,Aladdin and His Wonderful Lamp,Alan Brown
Default,Penny Maybe,Kathleen Martin
Default,Soul Reader,David Brackett
Default,Bossypants,Tina Fey
Default,Tracing Numbers on a Train,James McDonald
Default,Thirteen Reasons Why,Jay Asher
Default,The Secret (The Secret #1),Pseudonymous Bosch
Default,The Kite Runner,Khaled Hosseini
Default,The Girl on the Train,Paula Hawkins
Default,The Emerald Mystery,j. a. lath
Default,The Art of War,孙武
Default,Grumbles,Roger Hargreaves
Default,Ayumi's Violin,Mariko Tatsumoto
Default,Anonymous,Somme Sketcher
Default,Amy Meets the Saints and Sages,Ernie Rosenberg
Default,Amatus,Maite López Las Heras
Default,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",K. D. Phillips
Default,The Wright Brothers,David McCullough
Default,The Songs of the Gods,Dimitrios Spyridon Chytiris
Default,Steve Jobs,Walter Isaacson
Default,Luckiest Girl Alive,Jessica Knoll
Default,Every Last Word,Tamara Ireland Stone
Default,Daily Fantasy Sports,Jay Correia
Default,"Carry On, Warrior: Thoughts on Life Unarmed",Glennon Melton
Default,Carrie,Stephen King
Default,"The Three Searches, Meaning, and the Story",John H.T. Francis
Default,Raspberry Pi Electronics Projects for the Evil Genius,"Norris, Donald (Electrical engineer)"
Default,Eleanor & Park,Rainbow Rowell
Default,Adultery,Tess Stimson
Default,Unlimited Intuition Now,Catherine Carrigan
Default,Underlying Notes,Eva Pasco
Default,The Flowers Lied,Michael Goldberg
Default,Modern Day Fables,Jason Petersen
Default,Left Behind (Left Behind #1),Jerry B. Jenkins
Default,I'll Give You the Sun,Jandy Nelson
Default,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo
Default,Death by Leisure: A Cautionary Tale,Chris Ayres
Default,The Great Gatsby,F. Scott Fitzgerald
Default,The Good Girl,Mary Kubica
Default,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Whizbooks
Default,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon
Default,Life of Pi,Yann Martel
Default,The Sound Of Love,Norma Frances Greco
Default,The Perks of Being a Wallflower,Stephen Chbosky
Default,The Makings of a Fatherless Child,Chandler Alexander
Default,Musicophilia: Tales of Music and the Brain,Key Key Summaries
Default,The Fault in Our Stars,John Green
Default,The 5th Wave (The 5th Wave #1),Richard Yancey
Default,Remember Me?,Christopher Pike
Default,Fool Me Once,Harlan Coben
Default,Drama,Raina Telgemeier
Default,World War Z: An Oral History of the Zombie War,Max Brooks
Default,Wild: From Lost to Found on the Pacific Crest Trail,Whizbooks
Default,"Where'd You Go, Bernadette",Maria Semple
Default,Twilight (Twilight #1),David Preti
Default,The Paris Wife,Paula McLain
Default,The Lover's Dictionary,David Levithan
Default,The Goldfinch,Donna Tartt
Default,The Book Thief,Markus Zusak
Default,The Autobiography of Malcolm X,Harold Bloom
Default,Quiet: The Power of Introverts in a World That Can't Stop Talking,Book Junkie
Default,Orange Is the New Black,Piper Kerman
Default,Life After Life,Raymond A. Moody
Default,"Lean In: Women, Work, and the Will to Lead",Worth Books
Default,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling
Default,Gone Girl,Gillian Flynn
Default,Fellside,M. R. Carey
Default,Dracula,Bram Stoker
Default,Dark Places,Gillian Flynn
Default,A Visit from the Goon Squad,Jennifer Egan
Default,The Zombie Room,R. D. Ronald
Default,Jane Eyre,Charlotte Brontë
Default,Frankenstein,Mary Shelley
Science Fiction,Join,Johanna Lindsey
Science Fiction,The Project,Graeme Simsion
Science Fiction,Soft Apocalypse,Will McIntosh
Science Fiction,Arena,Booth Tarkington
Science Fiction,Ready Player One,Ernest Cline
Science Fiction,Dune (Dune #1),Brian Herbert
Add a comment,The Art Forger,Eric Hebborn
Add a comment,On a Midnight Clear,Bruce Hammack
Add a comment,Modern Romance,Aziz Ansari
Add a comment,The Song of Achilles,Madeline Miller
Add a comment,The Immortal Life of Henrietta Lacks,Rebecca Skloot
Add a comment,The Dovekeepers,Alice Hoffman
Add a comment,Cell,Kwang W. Jeon
Add a comment,A People's History of the United States,Howard Zinn
Add a comment,Rook,Daniel O'Malley
Add a comment,The Children,Edith Nesbit
Add a comment,Without Shame,Dennis Craig Smith
Add a comment,Watchmen,Alan Moore
Add a comment,The Glass Castle,Jeannette Walls
Add a comment,The Drowning Girls,Caitlín R. Kiernan
Add a comment,John Adams,David McCullough
Add a comment,The Joy of Cooking,Irma S. Rombauer
Add a comment,The God Delusion,Richard Dawkins
Add a comment,Pride and Prejudice,Jane Austen
Add a comment,Mere Christianity,C.S. Lewis
Add a comment,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren
Add a comment,The Complete Poems,Anne Sexton
Add a comment,The Catcher in the Rye,J. D. Salinger
Add a comment,The Case for Christ (Cases for Christianity),Immanuel Bourne
Add a comment,Seven Days in the Art World,Sarah Thornton
Add a comment,Sarah's Key,Tatiana de Rosnay
Add a comment,Manuscript Found in Accra,Paulo Coelho
Add a comment,Cosmos,Alexander von Humboldt
Add a comment,#GIRLBOSS,Celeste Bradley Designs
Add a comment,The Sense of an Ending,Julian Barnes
Add a comment,The Republic,Drew Karpyshyn
Add a comment,The Odyssey,Όμηρος
Add a comment,The Light of the Fireflies,Paul Pen
Add a comment,The Iliad,Όμηρος
Add a comment,The Communist Manifesto,David Boyle
Add a comment,Lord of the Flies,William Golding
Fantasy,Unicorn Tracks,Julia Ember
Fantasy,Masks and Shadows,Winifred H. Mills
Fantasy,A Court of Thorns and Roses (A Court of Thorns and Roses #1),Sarah J. Maas
Fantasy,The Star-Touched Queen,Roshani Chokshi
Fantasy,Searching for Meaning in Gailana,John H. T. Francis
Fantasy,The Star-Touched Queen,Roshani Chokshi
Fantasy,King's Folly (The Kinsman Chronicles #1),Jill Williamson
Fantasy,Tell the Wind and Fire,Sarah Rees Brennan
Fantasy,Heir to the Sky,Amanda Sun
Fantasy,Ash,Frank McCourt
Fantasy,Vampire Girl (Vampire Girl #1),Chloe Neill
New Adult,Shameless,Kiki Swinson
Young Adult,The Requiem Red,Brynn Chapman
Young Adult,Set Me Free,Jay Dee
Young Adult,Burning,Jack London
Young Adult,A Fierce and Subtle Poison,Samantha Mabry
Young Adult,Scarlett Epstein Hates It Here,Anna Breslaw
Young Adult,"Nightingale, Sing",Monica Dickens
Young Adult,Wild Swans,Jung Chang
Young Adult,This Is Where It Ends,Marieke Nijkamp
Young Adult,The Darkest Lie,Gena Showalter
Young Adult,My Kind of Crazy,Robin Reul
Young Adult,Don't Get Caught,Kurt Dinan
Young Adult,"Exit, Pursued by a Bear",E. K. Johnston
Young Adult,The Alien Club,Trel W Sidoruk
Young Adult,Don't Forget Steven,P. D. Workman
Young Adult,South of Sunshine,Dana Elmendorf
Young Adult,My Life Next Door (My Life Next Door ),Huntley Fitzpatrick
Young Adult,Tell the Wolves I'm Home,Carol Rifka Brunt
Young Adult,"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",John Green
Young Adult,Two Summers,Nora Roberts
Young Adult,The Darkest Corners,Elizabeth Haynes
Young Adult,Tell Me Three Things,Julie Buxbaum
Young Adult,Kill the Boy Band,Goldy Moldavsky
Young Adult,An Abundance of Katherines,John Green
Young Adult,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Dollhouse
Young Adult,Two Boys Kissing,David Levithan
Young Adult,The New Guy (and Other Senior Year Distractions),Amy Spalding
Young Adult,"The Land of 10,000 Madonnas",Kate Hattemer
Young Adult,Legend (Legend #1),Gregory Mundy
Young Adult,Boy Meets Boy,David Levithan
Young Adult,Annie on My Mind,Nancy Garden
Young Adult,The Haters,Thomas Shadwell
Young Adult,The Art of Not Breathing,Sarah Alexander
Science,The Origin of Species,Charles Darwin
Science,The Grand Design,Stephen Hawking
Science,Peak: Secrets from the New Science of Expertise,The Mindset Warrior
Science,Seven Brief Lessons on Physics,Carlo Rovelli
Science,The Selfish Gene,Richard Dawkins
Poetry,A Light in the Attic,Shel Silverstein
Poetry,The Black Maria,Aracelis Girmay
Poetry,Shakespeare's Sonnets,William Shakespeare
Poetry,Olio,Tyehimba Jess
Poetry,Poems That Make Grown Women Cry,Anthony Holden
Poetry,Night Sky with Exit Wounds,Ocean Vuong
Poetry,salt.,Patricia Highsmith
Poetry,Les Fleurs du Mal,Charles Baudelaire
Poetry,Howl and Other Poems,Allen Ginsberg
Poetry,The Crossover,Kwame Alexander
Poetry,Booked,Donald Nguyen
Poetry,Twenty Love Poems and a Song of Despair,J. Simon Harris
Art,Wall and Piece,Banksy
Art,The New Drawing on the Right Side of the Brain,Betty Edwards
Art,History of Beauty,Umberto Eco
Art,The Story of Art,E. H. Gombrich
Art,The Art Book,Art Book
Art,Ways of Seeing,John Berger
Psychology,"Thinking, Fast and Slow",Daniel Kahneman
Psychology,Civilization and Its Discontents,Sigmund Freud
Psychology,8 Keys to Mental Health Through Exercise,Christina G. Hibbert
Autobiography,The Argonauts,Maggie Nelson
Autobiography,M Train,Patti Smith
Autobiography,Lab Girl,Hope Jahren
Autobiography,Running with Scissors,Augusten Burroughs
Autobiography,Me Talk Pretty One Day,David Sedaris
Autobiography,Lust & Wonder,James Mahoney
Autobiography,Life Without a Recipe,Diana Abu-Jaber
Autobiography,A Heartbreaking Work of Staggering Genius,Dave Eggers
Humor,Dress Your Family in Corduroy and Denim,David Sedaris
Humor,When You Are Engulfed in Flames,David Sedaris
Humor,Naked,William S. Burroughs
Humor,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore
Humor,Holidays on Ice,David Sedaris
Horror,Security,Benjamin Graham
Horror,Follow You Home,"Edwards, Mark (Fiction writer)"
Horror,The Loney,Andrew Michael Hurley
Horror,Pet Sematary,Stephen King
Horror,Dracula the Un-Dead,Dacre Stoker
Horror,Needful Things,Stephen King
Horror,Misery,Stephen King
Horror,It,Edith Nesbit
Horror,'Salem's Lot,Stephen King
Horror,The Stand,Stephen King
Horror,The Girl with All the Gifts,M. R. Carey
Horror,House of Leaves,Mark Z. Danielewski
History,Sapiens: A Brief History of Humankind,BookNation
History,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,A. C. Grayling
History,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Worth Books
History,Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan
History,A Short History of Nearly Everything,Bill Bryson
History,The Rise and Fall of the Third Reich: A History of Nazi Germany,WILLIAM L. SHIRER
History,The Hiding Place,Corrie ten Boom
History,The Guns of August,Barbara Tuchman
Food and Drink,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Ree Drummond
Food and Drink,Barefoot Contessa Back to Basics,Ina Garten
Food and Drink,32 Yolks,Eric Ripert
Food and Drink,The Barefoot Contessa Cookbook,Ina Garten
Food and Drink,The Smitten Kitchen Cookbook,Deb Perelman
Christian Fiction,Redeeming Love,Francine Rivers
Christian Fiction,Close to You,Christina Dodd
Christian Fiction,Like Never Before (Walker Family #2),Melissa Tagg
Business,The Dirty Little Secrets of Getting Your Dream Job,Don Raskin
Business,The Art of Startup Fundraising,Alejandro Cremades
Business,"Rich Dad, Poor Dad",Robert T. Kiyosaki
Business,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Worth Books
Business,Rework,Jason Fried
Biography,Benjamin Franklin: An American Life,Walter Isaacson
Thriller,In Her Wake,Amanda Jennings
Thriller,The Elephant Tree,R. D. Ronald
Thriller,Behind Closed Doors,B.A. Paris
Thriller,You (You #1),Ally Carter
Thriller,Give It Back,Kimberly Daniels
Thriller,The Travelers,Marco Polo
Contemporary,When We Collided,Emery Lord
Contemporary,We Are All Completely Beside Ourselves,Karen Joy Fowler
Spirituality,The Four Agreements: A Practical Guide to Personal Freedom,"Ruiz, Miguel, 1952-"
Self Help,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,alex
Self Help,How to Stop Worrying and Start Living,Dale Carnegie
Historical,All the Light We Cannot See,Anthony Doerr
Christian,Crazy Love: Overwhelmed by a Relentless God,Chris Tomlin
Short Stories,The Grownup,Gillian Flynn
Health,"Eat Fat, Get Thin",Katya Johansson
Health,The Art and Science of Low Carbohydrate Living,Jeff Volek
Politics,Libertarianism for Beginners,Todd Seavey
Cultural,Amid the Chaos,Nia Quin
Erotica,Dark Notes,Pam Godwin`
