Category,Book Title,UPC,Price,ISBN_13,ISBN_10,ISBN_Source,ISBN_Status
Food and Drink,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",5674a18a29a43ced,Â£30.52,9781940352510,1940352517,google_books,fallback_used
Romance,Chase Me (Paris Nights #2),c2e46a2ee3b4a322,Â£25.27,9781943168002,1943168008,google_books,fallback_used
Romance,Black Dust,00bfed9e18bb36f3,Â£34.53,9781439167939,1439167931,google_books,fallback_used
Childrens,Birdsong: A Story in Pictures,9528d0948525bf5f,Â£54.64,9781935179948,1935179942,google_books,fallback_used
Default,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,c7d160c2c0de586f,Â£22.50,9781936161461,193616146X,google_books,fallback_used
Default,Aladdin and His Wonderful Lamp,904208d6aa64b655,Â£53.13,9781606600023,1606600028,google_books,fallback_used
Nonfiction,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,4c28def39d850cdf,Â£40.30,9780805097351,080509735X,google_books,fallback_used
Art,Wall and Piece,ccd9ffa25efabdea,Â£44.18,9788896968604,8896968607,google_books,fallback_used
Spirituality,The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50,Â£17.66,9781934408018,1934408018,google_books,fallback_used
Nonfiction,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3c039985229453bf,Â£31.05,9781881273622,1881273628,google_books,fallback_used
Childrens,The Bear and the Piano,9f6568e9c95f60b0,Â£36.89,9780711240537,0711240531,google_books,fallback_used
Philosophy,Sophie's World,6be3beb0793a53e7,Â£15.94,9780297864073,0297864076,google_books,fallback_used
Default,Penny Maybe,668fe56b17cfcd4f,Â£33.29,9781475962734,1475962738,google_books,fallback_used
Default,Maude (1883-1993):She Grew Up with the country,094b269567e1c300,Â£18.02,9780964924123,0964924129,google_books,fallback_used
Mystery,"In a Dark, Dark Wood",19ed25f4641d5efd,Â£19.63,9781501112317,1501112317,google_books,fallback_used
Thriller,Behind Closed Doors,be5cc846f45496fb,Â£52.22,9781479786589,1479786586,google_books,fallback_used
Poetry,You can't bury them all: Poems,55f9da0c5eea2e10,Â£33.63,9781770908734,1770908730,google_books,fallback_used
Poetry,Slow States of Collapse: Poems,b4fd5943413e089a,Â£57.31,9781458735423,1458735427,google_books,fallback_used
Nonfiction,Reasons to Stay Alive,c8f7f0cb1abb9cac,Â£26.41,9781782115090,1782115099,google_books,fallback_used
New Adult,Without Borders (Wanderlove #1),acddfeab2a407640,Â£45.07,9781682300534,1682300536,google_books,fallback_used
Contemporary,When We Collided,3ecb690d1542c568,Â£31.77,9798311674898,,google_books,fallback_used
Fiction,"We Love You, Charlie Freeman",8d455c7539795d2a,Â£50.27,9781616206079,1616206071,google_books,fallback_used
Poetry,Untitled Collection: Sabbath Poems 2014,657fe5ead67a7767,Â£14.27,9781538167656,1538167654,google_books,fallback_used
Nonfiction,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",d170b5a0da46380e,Â£44.18,9781623363857,1623363853,google_books,fallback_used
History,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",9a9d6e9bc555731e,Â£25.52,9781628725469,162872546X,google_books,fallback_used
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),09555be379ad9253,Â£16.28,9781682332504,1682332500,google_books,fallback_used
Nonfiction,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,7858914fad68493c,Â£31.12,9780241970201,0241970202,google_books,fallback_used
Sequential Art,This One Summer,51653ef291ab7ddc,Â£19.49,9781442264335,1442264330,google_books,fallback_used
Fiction,Thirst,709822d0b5bcb7f4,Â£17.27,9780781768528,0781768527,google_books,fallback_used
Childrens,The Secret of Dreadwillow Carse,b5ea0b5dabed25a8,Â£56.13,9781616206970,1616206977,google_books,fallback_used
Food and Drink,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",142d767a56a9254d,Â£56.41,9780062225252,0062225251,google_books,fallback_used
Mystery,The Past Never Ends,5ee94540d0749ea0,Â£56.50,9781134656424,1134656424,google_books,fallback_used
Sequential Art,The Nameless City (The Nameless City #1),7d385d34d12e60ff,Â£38.16,9781626726529,1626726523,google_books,fallback_used
Fiction,The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2,Â£54.11,9781488054976,1488054975,google_books,fallback_used
Science,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,aadee1c326d286e3,Â£42.96,9781408851265,1408851261,google_books,fallback_used
Add a comment,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",31075275518532d7,Â£23.89,9781572244993,1572244992,google_books,fallback_used
Nonfiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,0da9aa9d24677fc0,Â£16.77,9781607747314,1607747316,google_books,fallback_used
Default,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",8c9e6bf2467d740d,Â£20.59,9780692652718,069265271X,google_books,fallback_used
Nonfiction,The Gutsy Girl: Escapades for Your Life of Epic Adventure,acd86a5426e21ca0,Â£37.13,9781632861245,1632861240,google_books,fallback_used
Nonfiction,The Electric Pencil: Drawings from Inside State Hospital No. 3,a30b270e25489e5c,Â£56.06,9781616895013,1616895012,google_books,fallback_used
Philosophy,The Death of Humanity: and the Case for Life,bd261725b99f5983,Â£58.11,9781621574897,162157489X,google_books,fallback_used
Health,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",43c6a960757cf559,Â£49.05,9781623365196,1623365198,google_books,fallback_used
Add a comment,The Art Forger,80cfab6bcff3a244,Â£40.76,9781616203184,1616203188,google_books,fallback_used
History,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,a3d2a4250807f1e9,Â£19.73,9781408843291,1408843293,google_books,fallback_used
Spirituality,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b,Â£32.24,9781608683925,1608683923,google_books,fallback_used
Nonfiction,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,87b0615b6e1f4d7b,Â£41.83,9781607749738,1607749734,google_books,fallback_used
Default,Soul Reader,e6af5bf1163c1151,Â£39.58,9781611592245,1611592240,google_books,fallback_used
Horror,Security,6f78a0d744c35456,Â£39.25,9780123946126,0123946123,google_books,fallback_used
Fantasy,"Saga, Volume 6 (Saga (Collected Editions) #6)",c849f0b2f5d6a742,Â£25.02,9781506715896,1506715893,google_books,fallback_used
Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",53a3d11bb568cc8b,Â£51.04,9781506715896,1506715893,google_books,fallback_used
Nonfiction,Reskilling America: Learning to Labor in the Twenty-First Century,d7310206583a54b6,Â£19.83,9781627793292,1627793291,google_books,fallback_used
Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",0fa6dceead7ce47a,Â£13.61,9781632362285,1632362287,google_books,fallback_used
Fantasy,Princess Between Worlds (Wide-Awake Princess #5),0e691eda369f4e09,Â£13.34,9781619638488,1619638487,google_books,fallback_used
Sequential Art,"Pop Gun War, Volume 1: Gift",e80f8e518b300dfe,Â£18.97,9781632159731,1632159732,google_books,fallback_used
History,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",7392c0032f92d816,Â£36.28,9781365317958,1365317951,google_books,fallback_used
Sequential Art,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",889139b8e9c4cb36,Â£15.44,9781632150530,1632150530,google_books,fallback_used
Sequential Art,orange: The Complete Collection 1 (orange: The Complete Collection #1),11809b1d323b3057,Â£48.41,9781626923027,1626923027,google_books,fallback_used
Self Help,Online Marketing for Busy Authors: A Step-By-Step Guide,9ffa38d3b832433a,Â£46.35,9781458734747,1458734749,google_books,fallback_used
Add a comment,On a Midnight Clear,b757c0c361e689ce,Â£14.07,9780671020422,0671020420,google_books,fallback_used
Young Adult,Obsidian (Lux #1),3c346ab1e76ae1f6,Â£14.86,9781399737982,1399737988,google_books,fallback_used
Food and Drink,My Paris Kitchen: Recipes and Stories,784bc2279baa878d,Â£33.37,9781607742685,1607742683,google_books,fallback_used
Fantasy,Masks and Shadows,fa9610a50a1bf149,Â£56.40,9798989961504,,google_books,fallback_used
Food and Drink,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",72f9d5be3472d34e,Â£14.02,9781621060482,1621060489,google_books,fallback_used
Sequential Art,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",460089f796fb3f82,Â£46.91,9781613984086,1613984081,google_books,fallback_used
Sequential Art,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",b6ee99bcf06fc91f,Â£45.61,9781608866878,1608866874,google_books,fallback_used
Sequential Art,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),57e5a4d515c8ce44,Â£19.92,9781608868032,1608868036,google_books,fallback_used
Food and Drink,"Layered: Baking, Building, and Styling Spectacular Cakes",7b75cc7f223791f4,Â£40.11,9781613129432,1613129432,google_books,fallback_used
Add a comment,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),228f74b74f3a08ae,Â£53.90,9781633870086,1633870081,google_books,fallback_used
Science Fiction,Join,18ad3ed896c7ce05,Â£35.67,9780132715553,0132715554,google_books,fallback_used
Nonfiction,In the Country We Love: My Family Divided,b136b1b180ca753a,Â£22.00,9781627795289,1627795286,google_books,fallback_used
Science,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,e4f74c16de34d440,Â£57.36,9781613731109,1613731108,google_books,fallback_used
Sequential Art,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",8d4eefad7a2b3915,Â£29.17,9781632159403,1632159406,google_books,fallback_used
Sequential Art,I am a Hero Omnibus Volume 1,1c89ae5bb804e4de,Â£54.63,9781616559205,1616559209,google_books,fallback_used
Self Help,How to Be Miserable: 40 Strategies You Already Use,a6f99b9e687f9d46,Â£46.03,9781626254084,1626254087,google_books,fallback_used
Romance,Her Backup Boyfriend (The Sorensen Family #1),2a97cffe61c3c4c7,Â£33.97,9781633751347,1633751341,google_books,fallback_used
Sequential Art,"Giant Days, Vol. 2 (Giant Days #5-8)",f2df3bb043a8abb0,Â£22.11,9781939867223,1939867223,google_books,fallback_used
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,9beb96a2300109d7,Â£29.69,9781432863678,1432863673,google_books,fallback_used
Romance,First and First (Five Boroughs #3),9e28048cea8d41f7,Â£15.97,9791222430317,,google_books,fallback_used
Romance,Fifty Shades Darker (Fifty Shades #2),7add3f8e49ec0826,Â£21.96,9780525634669,0525634665,google_books,fallback_used
Nonfiction,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,311c0dd0e354a33e,Â£54.35,9781629561011,1629561010,google_books,fallback_used
Religion,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",fce19f9b4a943f22,Â£37.97,9781608683895,1608683893,google_books,fallback_used
Sequential Art,Danganronpa Volume 1,09b6cc87e62c2c58,Â£51.99,9781616559281,1616559284,google_books,fallback_used
Fantasy,Crown of Midnight (Throne of Glass #2),7267864328ae8b9d,Â£43.29,9781526634368,1526634368,google_books,fallback_used
Sequential Art,"Codename Baboushka, Volume 1: The Conclave of Death",8754c83ab2a7ae71,Â£36.72,9781632159724,1632159724,google_books,fallback_used
Sequential Art,Camp Midnight,7b599c8bfcdd8d30,Â£17.08,9781534313415,1534313419,google_books,fallback_used
Nonfiction,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,bee3672891cca906,Â£29.14,9781611459173,1611459176,google_books,fallback_used
Young Adult,Burning,5ceb951f629700a2,Â£28.81,9780429664052,0429664052,google_books,fallback_used
Default,Bossypants,74baabfc8fd84b38,Â£49.46,9780316198035,031619803X,google_books,fallback_used
Sequential Art,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",bdf415fd484ea8a7,Â£37.92,9781632156457,1632156458,google_books,fallback_used
Fantasy,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",6d5300b2d8f37e07,Â£28.09,9781630085940,1630085944,google_books,fallback_used
Nonfiction,Algorithms to Live By: The Computer Science of Human Decisions,38d45839cb1c83c1,Â£30.81,9780007547982,0007547986,google_books,fallback_used
Default,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",8a380641491d43ed,Â£56.76,9781627201025,1627201025,google_books,fallback_used
Mystery,A Murder in Time,f733e8c19d40ec2e,Â£16.64,9781681771151,1681771152,google_books,fallback_used
Historical Fiction,A Flight of Arrows (The Pathfinders #2),3a6fb983e2554023,Â£55.53,9781601427359,1601427352,google_books,fallback_used
Young Adult,A Fierce and Subtle Poison,842790dfaa937484,Â£28.13,9781616205881,1616205881,google_books,fallback_used
Fantasy,A Court of Thorns and Roses (A Court of Thorns and Roses #1),01d2001ac1e6f8a3,Â£52.37,9781408857878,1408857871,google_books,fallback_used
Christian,(Un)Qualified: How God Uses Broken People to Do Big Things,e4ac92d89b946781,Â£54.00,9781601424600,1601424604,google_books,fallback_used
Religion,You Are What You Love: The Spiritual Power of Habit,796c87ddbbaaf8c5,Â£21.87,9781493403660,1493403664,google_books,fallback_used
Science Fiction,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",9270575728a13a61,Â£43.30,9798337401287,,google_books,fallback_used
Fiction,Tuesday Nights in 1980,b8736690cf263a3c,Â£21.04,9783471351314,3471351310,google_books,fallback_used
Default,Tracing Numbers on a Train,d7d6d50c1e3d0b81,Â£41.60,9781530982011,1530982014,google_books,fallback_used
Fantasy,Throne of Glass (Throne of Glass #1),590a9cccf7db9f7d,Â£35.07,9781408832349,1408832348,google_books,fallback_used
History,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,de3f25248ba0789f,Â£59.64,9781533676245,1533676240,google_books,fallback_used
Default,Thirteen Reasons Why,bc2a85fd35fdc7bd,Â£52.72,9781101539927,1101539925,google_books,fallback_used
Romance,The Wedding Dress,623e1a180426039b,Â£24.12,9780762411191,0762411198,google_books,fallback_used
Fiction,The Vacationers,fd3a622648667296,Â£42.15,9781101618042,1101618043,google_books,fallback_used
Business,The Third Wave: An Entrepreneurâs Vision of the Future,3bebf34ee9330cbd,Â£12.61,9781501132605,1501132601,google_books,fallback_used
Sequential Art,The Shadow Hero (The Shadow Hero),d6361d16212664ed,Â£33.14,9781466861749,1466861746,google_books,fallback_used
Default,The Secret (The Secret #1),961f18db4f138211,Â£27.37,9781582701707,1582701709,google_books,fallback_used
Fiction,The Regional Office Is Under Attack!,0651062381f0636a,Â£51.36,9781473551336,1473551331,google_books,fallback_used
Default,The Psychopath Test: A Journey Through the Madness Industry,e98a4efa85070c2f,Â£36.00,9781101515167,1101515163,google_books,fallback_used
Science Fiction,The Project,790ef197c8f236f5,Â£10.65,9780273723226,0273723227,google_books,fallback_used
Nonfiction,The Power of Now: A Guide to Spiritual Enlightenment,8ec14b1576cb7cb5,Â£43.54,9780340898918,0340898917,google_books,fallback_used
Nonfiction,The Omnivore's Dilemma: A Natural History of Four Meals,209adad1015af86f,Â£38.21,9781101147177,1101147172,google_books,fallback_used
Food and Drink,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,e4c7f3487d17fd42,Â£37.34,9781501104053,1501104055,google_books,fallback_used
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),c7b5183f4d1d4efe,Â£44.10,9780425173893,0425173895,google_books,fallback_used
New Adult,The Mistake (Off-Campus #2),99ff4cc6491e8f5c,Â£43.29,9780349440866,0349440867,google_books,fallback_used
Food and Drink,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,e28e330cbdf01126,Â£37.60,9780698404779,0698404777,google_books,fallback_used
Crime,The Long Shadow of Small Ghosts: Murder and Memory in an American City,abeafe151a587d3b,Â£10.97,9781501104275,1501104276,google_books,fallback_used
Default,The Kite Runner,eac1a180047ad54e,Â£41.82,9781526634054,1526634058,google_books,fallback_used
Historical Fiction,The House by the Lake,9287e238d7c3b06e,Â£36.95,9781473506558,1473506557,google_books,fallback_used
Fantasy,The Glittering Court (The Glittering Court #1),2dbb7ec08cdd7f3c,Â£44.28,9781760142582,1760142581,google_books,fallback_used
Default,The Girl on the Train,e956d67c9bcc5809,Â£55.02,9781786825131,1786825139,google_books,fallback_used
Nonfiction,The Genius of Birds,42d0d7c92b75fc1c,Â£17.24,9781472114372,147211437X,google_books,fallback_used
Food and Drink,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,96a38e7c813d8f1d,Â£41.25,9780358353997,0358353998,google_books,fallback_used
Default,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,efc3768127714ec3,Â£32.00,9781503595606,1503595609,google_books,fallback_used
Nonfiction,The Artist's Way: A Spiritual Path to Higher Creativity,dd047728de72ad62,Â£38.49,9781782837657,1782837655,google_books,fallback_used
Default,The Art of War,e7469e22b5bfb3e7,Â£33.34,9780465013272,0465013279,google_books,fallback_used
Autobiography,The Argonauts,c99761a700ade23f,Â£10.93,9780520313804,0520313801,google_books,fallback_used
Business,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,56e4f9eab2e8e674,Â£27.55,9780698402775,0698402774,google_books,fallback_used
Romance,Suddenly in Love (Lake Haven #1),203b7f94b7d6115f,Â£55.99,9780999332108,0999332104,google_books,fallback_used
Science Fiction,Soft Apocalypse,2a70769cdc6eb8b8,Â£26.12,9781405522656,1405522658,google_books,fallback_used
Nonfiction,So You've Been Publicly Shamed,1b33663ad7b95fd8,Â£12.23,9781509829453,1509829458,google_books,fallback_used
Business,Shoe Dog: A Memoir by the Creator of NIKE,0e0dcc3339602b28,Â£23.99,9781501135934,1501135937,google_books,fallback_used
Add a comment,"Shobu Samurai, Project Aryoku (#3)",0c27e6c3744fc14b,Â£29.06,9781514417089,1514417081,google_books,fallback_used
Default,Secrets and Lace (Fatal Hearts #1),ad04ad9fc179fc5d,Â£20.27,9781530253296,1530253292,google_books,fallback_used
Young Adult,Scarlett Epstein Hates It Here,1c929cfd16b71907,Â£43.55,9780698197497,0698197496,google_books,fallback_used
Default,Romero and Juliet: A Tragic Tale of Love and Zombies,e656e280bc8edd56,Â£36.94,9781530757107,153075710X,google_books,fallback_used
Christian Fiction,Redeeming Love,b53db2271c9624f7,Â£20.47,9781601422880,1601422881,google_books,fallback_used
Default,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,d9c643fa1fc57bdb,Â£41.06,9781530106110,1530106117,google_books,fallback_used
Poetry,Poems That Make Grown Women Cry,31001a1210623bd4,Â£14.19,9781501121852,1501121855,google_books,fallback_used
Poetry,Night Sky with Exit Wounds,cfeb1e1e0e695b58,Â£41.05,9781619321564,1619321564,google_books,fallback_used
Historical Fiction,Mrs. Houdini,a40723994f715420,Â£30.25,9781501110917,1501110918,google_books,fallback_used
Add a comment,Modern Romance,caf4fe9311f1dc59,Â£28.26,9781135895259,1135895252,google_books,fallback_used
Default,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),af96613fdd793a3c,Â£10.76,9780316323796,0316323799,google_books,fallback_used
Biography,Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84,Â£16.85,9781101980828,1101980826,google_books,fallback_used
Childrens,Little Red,4aa03792b50f0b22,Â£13.47,9781538393161,1538393166,google_books,fallback_used
Young Adult,Library of Souls (Miss Peregrineâs Peculiar Children #3),ba54932df84e8cea,Â£48.56,9781594749315,1594749310,google_books,fallback_used
Default,Large Print Heart of the Pride,c1afd71fc86bf682,Â£19.15,9781589604827,1589604822,google_books,fallback_used
Womens Fiction,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,fd8585283fc7d2d7,Â£57.36,9781501151101,150115110X,google_books,fallback_used
Fantasy,Hollow City (Miss Peregrineâs Peculiar Children #2),4ce91d31c1e57c33,Â£42.98,9781594746208,1594746206,google_books,fallback_used
Travel,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,ce60436f52c5ee68,Â£49.43,9781510705678,1510705678,google_books,fallback_used
Young Adult,Frostbite (Vampire Academy #2),116a2fdc9a45bab0,Â£29.99,9786028590167,6028590169,google_books,fallback_used
Horror,Follow You Home,8585760646e3aa2a,Â£21.36,9780648037712,0648037711,google_books,fallback_used
Default,First Steps for New Christians (Print Edition),2f88b08bf0a0e367,Â£29.00,9781630872915,1630872911,google_books,fallback_used
Fiction,Finders Keepers (Bill Hodges Trilogy #2),edb3097e71330040,Â£53.53,9781473698970,1473698979,google_books,fallback_used
Sequential Art,"Fables, Vol. 1: Legends in Exile (Fables #1)",65d034adf80834b7,Â£41.62,9781401236021,1401236022,google_books,fallback_used
Default,Eureka Trivia 6.0,29c0025455f8c585,Â£54.59,9781511603256,1511603259,google_books,fallback_used
Default,Drive: The Surprising Truth About What Motivates Us,6ffb36aaeff1c81e,Â£34.95,9781101524381,1101524383,google_books,fallback_used
Default,Done Rubbed Out (Reightman & Bailey #1),f6d967cdadc6fbd9,Â£37.72,9783110679403,311067940X,google_books,fallback_used
Romance,Doing It Over (Most Likely To #1),3a11bb962ff45b78,Â£35.61,9781481457217,1481457217,google_books,fallback_used
Food and Drink,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",46c1530d7546ea6d,Â£42.16,9781501127618,1501127616,google_books,fallback_used
Nonfiction,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",3b9a3b4624b7fd6d,Â£19.43,9781101594995,1101594993,google_books,fallback_used
Christian Fiction,Close to You,a57b1dcbd6849222,Â£49.46,9781118128237,1118128230,google_books,fallback_used
Spirituality,Chasing Heaven: What Dying Taught Me About Living,513271dadc1322ae,Â£37.80,9781501124938,1501124935,google_books,fallback_used
Nonfiction,Big Magic: Creative Living Beyond Fear,1f329c2e7d7de8bd,Â£30.80,9781408866764,1408866765,google_books,fallback_used
Nonfiction,Becoming Wise: An Inquiry into the Mystery and Art of Living,919e7cb2269a25d2,Â£27.43,9781472152411,1472152417,google_books,fallback_used
Default,Beauty Restored (Riley Family Legacy Novellas #3),3f69e667a67e54d9,Â£11.11,9781476605449,1476605440,google_books,fallback_used
Sequential Art,Batman: The Long Halloween (Batman),7edc0527cf782e19,Â£36.50,9781401256166,1401256163,google_books,fallback_used
Sequential Art,Batman: The Dark Knight Returns (Batman),47271d8e08b5d31c,Â£15.38,9781401235857,1401235859,google_books,fallback_used
Default,Ayumi's Violin,05f7c6d9a4e582d3,Â£15.48,9781515287308,1515287300,google_books,fallback_used
Default,Anonymous,d24b829be2ca81c4,Â£46.82,9780124079267,0124079261,google_books,fallback_used
Default,Amy Meets the Saints and Sages,7ebfa6c1bee69e1e,Â£18.46,9781530449118,1530449111,google_books,fallback_used
Cultural,Amid the Chaos,bb8245f52c7cce8f,Â£36.58,9789199071510,9199071517,google_books,fallback_used
Nonfiction,Agnostic: A Spirited Manifesto,d195e7f4ed697350,Â£12.51,9780698194472,0698194470,google_books,fallback_used
History,Zealot: The Life and Times of Jesus of Nazareth,dd5bfa6cc2c0ecc3,Â£24.70,9781908906281,1908906286,google_books,fallback_used
Thriller,You (You #1),024387ca4cafd5cc,Â£43.61,9781493143337,1493143336,google_books,fallback_used
Sequential Art,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",047097293bb4d1c0,Â£37.34,9781401269432,1401269435,google_books,fallback_used
Young Adult,Wild Swans,3fb15ace50d6142b,Â£14.36,9780743246989,0743246985,google_books,fallback_used
Politics,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,2b5054a4192e9b06,Â£52.65,9781476763811,147676381X,google_books,fallback_used
Nonfiction,What's It Like in Space?: Stories from Astronauts Who've Been There,6fd646a334e6e133,Â£19.60,9781452148717,1452148716,google_books,fallback_used
Sequential Art,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",92275cedf6d8ee15,Â£53.90,9781978819795,197881979X,google_books,fallback_used
Childrens,Walt Disney's Alice in Wonderland,6a31307a81e8f3a8,Â£12.96,9781484742822,1484742826,google_books,fallback_used
Default,V for Vendetta (V for Vendetta Complete),4a1debca3135ff37,Â£37.10,9781842438220,1842438220,google_books,fallback_used
Young Adult,Until Friday Night (The Field Party #1),aba2db9afb1469c7,Â£46.31,9781481438858,1481438859,google_books,fallback_used
