book_id,title,price,adjusted_price,price_change_pct,similarity_score,availability,demand_level,stock_level,profit_or_loss
53,Lilac Girls,17.28,17.28,0.0,0.034,11,Medium,Medium Stock,Neutral
54,The Constant Princess (The Tudor Court #1),16.62,19.94,0.2,0.052,7,High,Low Stock,Profit
55,The Invention of Wings,37.34,39.21,0.05,0.0233,6,Medium,Low Stock,Profit
56,World Without End (The Pillars of the Earth #2),32.97,34.62,0.05,0.0402,5,Medium,Low Stock,Profit
57,The Passion of Dolssa,28.32,26.9,-0.05,0.0111,4,Low,Low Stock,Loss
58,Girl With a Pearl Earring,26.77,25.43,-0.05,0.0196,4,Low,Low Stock,Loss
59,Voyager (Outlander #3),21.07,20.02,-0.05,0.0171,3,Low,Low Stock,Loss
60,The Red Tent,35.66,33.88,-0.05,0.0133,3,Low,Low Stock,Loss
61,The Last Painting of Sara de Vos,55.55,58.33,0.05,0.0204,3,Medium,Low Stock,Profit
62,The Guernsey Literary and Potato Peel Pie Society,49.53,52.01,0.05,0.0311,3,Medium,Low Stock,Profit
63,Girl in the Blue Coat,46.83,49.17,0.05,0.0446,3,Medium,Low Stock,Profit
64,Between Shades of Gray,20.79,21.83,0.05,0.0387,3,Medium,Low Stock,Profit
65,While You Were Mine,41.32,43.39,0.05,0.0234,1,Medium,Low Stock,Profit
66,The Secret Healer,34.56,32.83,-0.05,0.0147,1,Low,Low Stock,Loss
67,Starlark,25.83,27.12,0.05,0.0283,1,Medium,Low Stock,Profit
68,Lost Among the Living,27.7,29.08,0.05,0.0296,1,Medium,Low Stock,Profit
69,A Spy's Devotion (The Regency Spies of London #1),16.97,20.36,0.2,0.0571,1,High,Low Stock,Profit
70,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,49.68,-0.05,0.01,19,Low,Medium Stock,Loss
71,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,16.28,0.0,0.0439,16,Medium,Medium Stock,Neutral
72,This One Summer,19.49,18.52,-0.05,0.0058,16,Low,Medium Stock,Loss
73,The Nameless City (The Nameless City #1),38.16,36.25,-0.05,0.0154,16,Low,Medium Stock,Loss
74,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,51.04,0.0,0.0239,16,Medium,Medium Stock,Neutral
75,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,47.88,-0.05,0.0136,16,Low,Medium Stock,Loss
76,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,13.61,0.0,0.0238,16,Medium,Medium Stock,Neutral
77,"Pop Gun War, Volume 1: Gift",18.97,18.02,-0.05,0.006,16,Low,Medium Stock,Loss
78,Patience,10.16,10.16,0.0,0.0203,16,Medium,Medium Stock,Neutral
79,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,14.67,-0.05,0.0184,16,Low,Medium Stock,Loss
80,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,53.25,0.1,0.1033,16,High,Medium Stock,Profit
81,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,51.6,0.1,0.0539,16,High,Medium Stock,Profit
82,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,50.17,0.1,0.0609,16,High,Medium Stock,Profit
83,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,18.92,-0.05,0.0086,16,Low,Medium Stock,Loss
84,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,32.09,0.1,0.0963,16,High,Medium Stock,Profit
85,I am a Hero Omnibus Volume 1,54.63,54.63,0.0,0.0213,16,Medium,Medium Stock,Neutral
86,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,22.11,0.0,0.0406,16,Medium,Medium Stock,Neutral
87,Danganronpa Volume 1,51.99,57.19,0.1,0.1258,16,High,Medium Stock,Profit
88,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,36.72,0.0,0.0242,16,Medium,Medium Stock,Neutral
89,Camp Midnight,17.08,17.08,0.0,0.0473,16,Medium,Medium Stock,Neutral
90,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,37.92,0.0,0.0415,16,Medium,Medium Stock,Neutral
91,The Shadow Hero (The Shadow Hero),33.14,31.48,-0.05,0.0192,15,Low,Medium Stock,Loss
92,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,39.54,-0.05,0.018,15,Low,Medium Stock,Loss
93,Batman: The Long Halloween (Batman),36.5,36.5,0.0,0.0339,15,Medium,Medium Stock,Neutral
94,Batman: The Dark Knight Returns (Batman),15.38,14.61,-0.05,0.0139,15,Low,Medium Stock,Loss
95,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,37.34,0.0,0.0231,14,Medium,Medium Stock,Neutral
96,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,53.9,0.0,0.044,14,Medium,Medium Stock,Neutral
97,Through the Woods,25.38,25.38,0.0,0.0277,14,Medium,Medium Stock,Neutral
98,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,11.89,0.0,0.0269,14,Medium,Medium Stock,Neutral
99,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,33.66,-0.05,0.0187,14,Low,Medium Stock,Loss
100,Robin War,47.82,47.82,0.0,0.0319,14,Medium,Medium Stock,Neutral
101,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,25.48,0.0,0.0427,14,Medium,Medium Stock,Neutral
102,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,36.47,-0.05,0.0142,14,Low,Medium Stock,Loss
103,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,51.51,0.0,0.0499,14,Medium,Medium Stock,Neutral
104,El Deafo,57.62,57.62,0.0,0.0247,14,Medium,Medium Stock,Neutral
105,Batman: Europa,32.01,30.41,-0.05,0.008,14,Low,Medium Stock,Loss
106,Art Ops Vol. 1,48.8,48.8,0.0,0.0246,14,Medium,Medium Stock,Neutral
107,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,10.36,-0.05,0.0161,14,Low,Medium Stock,Loss
108,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,32.25,-0.05,0.0071,9,Low,Low Stock,Loss
109,Roller Girl,14.1,13.4,-0.05,0.016,8,Low,Low Stock,Loss
110,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,20.55,0.05,0.0386,7,Medium,Low Stock,Profit
111,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,22.01,0.05,0.0398,6,Medium,Low Stock,Profit
112,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,43.67,0.2,0.0662,6,High,Low Stock,Profit
113,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,17.15,0.05,0.0436,5,Medium,Low Stock,Profit
114,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,62.89,0.2,0.0816,5,High,Low Stock,Profit
115,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,26.49,-0.05,0.0141,4,Low,Low Stock,Loss
116,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,47.92,-0.05,0.0152,4,Low,Low Stock,Loss
117,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,15.13,0.05,0.0421,3,Medium,Low Stock,Profit
118,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,58.33,0.05,0.0242,3,Medium,Low Stock,Profit
119,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,22.65,0.05,0.0265,3,Medium,Low Stock,Profit
120,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,41.45,-0.05,0.0177,3,Low,Low Stock,Loss
121,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,41.09,0.05,0.0316,3,Medium,Low Stock,Profit
122,Original Fake,31.45,33.02,0.05,0.0336,3,Medium,Low Stock,Profit
123,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,44.86,0.05,0.0347,3,Medium,Low Stock,Profit
124,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,47.43,0.05,0.0411,3,Medium,Low Stock,Profit
125,"Black Butler, Vol. 1 (Black Butler #1)",49.31,46.84,-0.05,0.0,3,Low,Low Stock,Loss
126,Awkward,38.02,39.92,0.05,0.0335,3,Medium,Low Stock,Profit
127,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,57.55,0.05,0.0212,2,Medium,Low Stock,Profit
128,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,12.34,0.05,0.023,2,Medium,Low Stock,Profit
129,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,12.22,0.05,0.0409,2,Medium,Low Stock,Profit
130,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,17.58,-0.05,0.0,1,Low,Low Stock,Loss
131,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,43.82,0.2,0.0711,1,High,Low Stock,Profit
132,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,56.83,0.05,0.0315,1,Medium,Low Stock,Profit
133,The Complete Maus (Maus #1-2),10.64,12.77,0.2,0.0511,1,High,Low Stock,Profit
134,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,44.23,0.05,0.0316,1,Medium,Low Stock,Profit
135,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,29.9,0.05,0.0214,1,Medium,Low Stock,Profit
136,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,49.31,0.05,0.0266,1,Medium,Low Stock,Profit
137,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,20.62,-0.05,0.0136,1,Low,Low Stock,Loss
138,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,35.84,0.2,0.061,1,High,Low Stock,Profit
139,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,41.36,0.05,0.0218,1,Medium,Low Stock,Profit
140,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,42.98,-0.05,0.0066,1,Low,Low Stock,Loss
141,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,59.6,0.05,0.0404,1,Medium,Low Stock,Profit
142,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,38.27,-0.05,0.0141,1,Low,Low Stock,Loss
143,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,32.92,-0.05,0.0137,1,Low,Low Stock,Loss
144,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,68.47,0.2,0.056,1,High,Low Stock,Profit
145,The Secret Garden,15.08,15.83,0.05,0.0263,5,Medium,Low Stock,Profit
146,The Metamorphosis,28.58,27.15,-0.05,0.0,5,Low,Low Stock,Loss
147,The Pilgrim's Progress,50.26,47.75,-0.05,0.0,4,Low,Low Stock,Loss
148,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,14.08,-0.05,0.0035,4,Low,Low Stock,Loss
149,Little Women (Little Women #1),28.07,33.68,0.2,0.0759,4,High,Low Stock,Profit
150,Gone with the Wind,32.49,34.11,0.05,0.0295,4,Medium,Low Stock,Profit
151,Candide,58.63,61.56,0.05,0.0299,4,Medium,Low Stock,Profit
152,Animal Farm,57.22,54.36,-0.05,0.0197,4,Low,Low Stock,Loss
153,Wuthering Heights,17.73,16.84,-0.05,0.0,3,Low,Low Stock,Loss
154,The Picture of Dorian Gray,29.7,28.22,-0.05,0.0165,3,Low,Low Stock,Loss
155,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,28.12,0.05,0.0433,3,Medium,Low Stock,Profit
156,Beowulf,38.35,40.27,0.05,0.0273,3,Medium,Low Stock,Profit
157,And Then There Were None,35.01,36.76,0.05,0.0302,3,Medium,Low Stock,Profit
158,The Story of Hong Gildong,43.19,45.35,0.05,0.0228,1,Medium,Low Stock,Profit
159,The Little Prince,45.42,43.15,-0.05,0.0192,1,Low,Low Stock,Loss
160,Sense and Sensibility,37.46,44.95,0.2,0.0526,1,High,Low Stock,Profit
161,Of Mice and Men,47.11,56.53,0.2,0.0567,1,High,Low Stock,Profit
162,Emma,32.93,31.28,-0.05,0.0139,1,Low,Low Stock,Loss
163,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,52.75,-0.05,0.0,1,Low,Low Stock,Loss
164,Sophie's World,15.94,15.94,0.0,0.0259,18,Medium,Medium Stock,Neutral
165,The Death of Humanity: and the Case for Life,58.11,63.92,0.1,0.067,16,High,Medium Stock,Profit
166,The Stranger,17.44,17.44,0.0,0.0294,15,Medium,Medium Stock,Neutral
167,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,56.92,0.05,0.0387,8,Medium,Low Stock,Profit
168,Kierkegaard: A Christian Missionary to Christians,47.13,49.49,0.05,0.0239,8,Medium,Low Stock,Profit
169,"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,31.43,0.05,0.0275,7,Medium,Low Stock,Profit
170,Critique of Pure Reason,20.75,19.71,-0.05,0.0096,5,Low,Low Stock,Loss
171,"Run, Spot, Run: The Ethics of Keeping Pets",20.02,21.02,0.05,0.0298,2,Medium,Low Stock,Profit
172,The Nicomachean Ethics,36.34,38.16,0.05,0.0407,1,Medium,Low Stock,Profit
173,Meditations,25.89,24.6,-0.05,0.0,1,Low,Low Stock,Loss
174,Beyond Good and Evil,43.38,41.21,-0.05,0.0164,1,Low,Low Stock,Loss
175,Chase Me (Paris Nights #2),25.27,25.27,0.0,0.0398,19,Medium,Medium Stock,Neutral
176,Black Dust,34.53,34.53,0.0,0.0279,19,Medium,Medium Stock,Neutral
177,Her Backup Boyfriend (The Sorensen Family #1),33.97,33.97,0.0,0.0424,16,Medium,Medium Stock,Neutral
178,First and First (Five Boroughs #3),15.97,15.17,-0.05,0.0129,16,Low,Medium Stock,Loss
179,Fifty Shades Darker (Fifty Shades #2),21.96,21.96,0.0,0.0309,16,Medium,Medium Stock,Neutral
180,The Wedding Dress,24.12,24.12,0.0,0.0211,15,Medium,Medium Stock,Neutral
181,Suddenly in Love (Lake Haven #1),55.99,55.99,0.0,0.045,15,Medium,Medium Stock,Neutral
182,Something More Than This,16.24,15.43,-0.05,0.0178,15,Low,Medium Stock,Loss
183,Doing It Over (Most Likely To #1),35.61,35.61,0.0,0.0399,15,Medium,Medium Stock,Neutral
184,The Wedding Pact (The O'Malleys #2),32.61,30.98,-0.05,0.0064,14,Low,Medium Stock,Loss
185,Hold Your Breath (Search and Rescue #1),28.82,28.82,0.0,0.0497,14,Medium,Medium Stock,Neutral
186,Dirty (Dive Bar #1),40.83,40.83,0.0,0.0275,12,Medium,Medium Stock,Neutral
187,Take Me Home Tonight (Rock Star Romance #3),53.98,53.98,0.0,0.0252,11,Medium,Medium Stock,Neutral
188,Off the Hook (Fishing for Trouble #1),47.67,47.67,0.0,0.0258,11,Medium,Medium Stock,Neutral
189,A Gentleman's Position (Society of Gentlemen #3),14.75,16.23,0.1,0.0558,11,High,Medium Stock,Profit
190,"Sit, Stay, Love",20.9,21.94,0.05,0.0475,7,Medium,Low Stock,Profit
191,A Girl's Guide to Moving On (New Beginnings #2),31.3,32.86,0.05,0.0444,5,Medium,Low Stock,Profit
192,The Perfect Play (Play by Play #1),59.99,62.99,0.05,0.0313,4,Medium,Low Stock,Profit
193,Dark Lover (Black Dagger Brotherhood #1),12.87,13.51,0.05,0.0304,4,Medium,Low Stock,Profit
194,Changing the Game (Play by Play #2),13.38,14.05,0.05,0.0317,4,Medium,Low Stock,Profit
195,A Walk to Remember,56.43,53.61,-0.05,0.0122,4,Low,Low Stock,Loss
196,The Purest Hook (Second Circle Tattoos #3),12.25,12.86,0.05,0.0326,3,Medium,Low Stock,Profit
197,The Obsession,45.43,47.7,0.05,0.0239,3,Medium,Low Stock,Profit
198,Reservations for Two,11.1,10.54,-0.05,0.019,3,Low,Low Stock,Loss
199,Best of My Love (Fool's Gold #20),27.41,32.89,0.2,0.131,3,High,Low Stock,Profit
200,Where Lightning Strikes (Bleeding Stars #3),39.77,41.76,0.05,0.0321,1,Medium,Low Stock,Profit
201,This One Moment (Pushing Limits #1),48.71,51.15,0.05,0.0222,1,Medium,Low Stock,Profit
202,"Rhythm, Chord & Malykhin",28.34,29.76,0.05,0.0286,1,Medium,Low Stock,Profit
203,My Perfect Mistake (Over the Top #1),38.92,40.87,0.05,0.0232,1,Medium,Low Stock,Profit
204,Listen to Me (Fusion #1),58.99,70.79,0.2,0.063,1,High,Low Stock,Profit
205,Imperfect Harmony,34.74,36.48,0.05,0.0365,1,Medium,Low Stock,Profit
206,Fighting Fate (Fighting #6),39.24,41.2,0.05,0.0258,1,Medium,Low Stock,Profit
207,Deep Under (Walker Security #1),47.09,49.44,0.05,0.0245,1,Medium,Low Stock,Profit
208,Charity's Cross (Charles Towne Belles #4),41.24,43.3,0.05,0.0245,1,Medium,Low Stock,Profit
209,Bounty (Colorado Mountain #7),37.26,39.12,0.05,0.0335,1,Medium,Low Stock,Profit
210,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,63.1,0.1,0.0599,15,High,Medium Stock,Profit
211,Will You Won't You Want Me?,13.86,13.86,0.0,0.0451,12,Medium,Medium Stock,Neutral
212,Keep Me Posted,20.46,22.51,0.1,0.059,11,High,Medium Stock,Profit
213,Grey (Fifty Shades #4),48.49,48.49,0.0,0.0473,11,Medium,Medium Stock,Neutral
214,Meternity,43.58,45.76,0.05,0.0351,7,Medium,Low Stock,Profit
215,Some Women,13.73,14.42,0.05,0.043,4,Medium,Low Stock,Profit
216,Shopaholic Ties the Knot (Shopaholic #3),48.39,58.07,0.2,0.0603,4,High,Low Stock,Profit
217,Can You Keep a Secret?,21.94,23.04,0.05,0.0314,4,Medium,Low Stock,Profit
218,Twenties Girl,42.8,40.66,-0.05,0.0161,3,Low,Low Stock,Loss
219,The Undomestic Goddess,45.75,48.04,0.05,0.0464,3,Medium,Low Stock,Profit
220,The Nanny Diaries (Nanny #1),52.53,55.16,0.05,0.0262,3,Medium,Low Stock,Profit
221,The Devil Wears Prada (The Devil Wears Prada #1),44.29,46.5,0.05,0.0405,3,Medium,Low Stock,Profit
222,Something Borrowed (Darcy & Rachel #1),48.96,51.41,0.05,0.0343,3,Medium,Low Stock,Profit
223,Something Blue (Darcy & Rachel #2),54.62,57.35,0.05,0.0264,3,Medium,Low Stock,Profit
224,I've Got Your Number,19.69,20.67,0.05,0.0218,3,Medium,Low Stock,Profit
225,The Edge of Reason (Bridget Jones #2),19.18,20.14,0.05,0.0289,1,Medium,Low Stock,Profit
226,Bridget Jones's Diary (Bridget Jones #1),29.82,28.33,-0.05,0.0142,1,Low,Low Stock,Loss
227,Soumission,50.1,47.6,-0.05,0.0,20,Low,Medium Stock,Loss
228,Private Paris (Private #10),47.61,47.61,0.0,0.0269,17,Medium,Medium Stock,Neutral
229,"We Love You, Charlie Freeman",50.27,50.27,0.0,0.0369,16,Medium,Medium Stock,Neutral
230,Thirst,17.27,16.41,-0.05,0.0198,16,Low,Medium Stock,Loss
231,The Murder That Never Was (Forensic Instincts #5),54.11,54.11,0.0,0.0274,16,Medium,Medium Stock,Neutral
232,Tuesday Nights in 1980,21.04,21.04,0.0,0.0318,15,Medium,Medium Stock,Neutral
233,The Vacationers,42.15,46.36,0.1,0.0856,15,High,Medium Stock,Profit
234,The Regional Office Is Under Attack!,51.36,56.5,0.1,0.0545,15,High,Medium Stock,Profit
235,Finders Keepers (Bill Hodges Trilogy #2),53.53,53.53,0.0,0.0244,15,Medium,Medium Stock,Neutral
236,The Time Keeper,27.88,27.88,0.0,0.0326,14,Medium,Medium Stock,Neutral
237,The Testament of Mary,52.67,50.04,-0.05,0.0167,14,Low,Medium Stock,Loss
238,The First Hostage (J.B. Collins #2),25.85,25.85,0.0,0.0207,14,Medium,Medium Stock,Neutral
239,Take Me with You,45.21,49.73,0.1,0.0562,14,High,Medium Stock,Profit
240,Still Life with Bread Crumbs,26.41,26.41,0.0,0.0287,14,Medium,Medium Stock,Neutral
241,Shtum,55.84,55.84,0.0,0.0451,14,Medium,Medium Stock,Neutral
242,My Name Is Lucy Barton,41.56,39.48,-0.05,0.0059,14,Low,Medium Stock,Loss
243,My Mrs. Brown,24.48,24.48,0.0,0.021,14,Medium,Medium Stock,Neutral
244,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,27.46,-0.05,0.0158,14,Low,Medium Stock,Loss
245,I Am Pilgrim (Pilgrim #1),10.6,11.66,0.1,0.0567,14,High,Medium Stock,Profit
246,Eligible (The Austen Project #4),27.09,27.09,0.0,0.0419,14,Medium,Medium Stock,Neutral
247,Eight Hundred Grapes,14.39,15.83,0.1,0.0591,14,High,Medium Stock,Profit
248,Dear Mr. Knightley,11.21,11.21,0.0,0.027,14,Medium,Medium Stock,Neutral
249,Cometh the Hour (The Clifton Chronicles #6),25.01,25.01,0.0,0.0225,14,Medium,Medium Stock,Neutral
250,Balloon Animals,17.03,16.18,-0.05,0.012,14,Low,Medium Stock,Loss
251,A Man Called Ove,39.72,37.73,-0.05,0.0181,14,Low,Medium Stock,Loss
252,The Silent Sister (Riley MacPherson #1),46.29,46.29,0.0,0.0236,12,Medium,Medium Stock,Neutral
253,The Dinner Party,56.54,56.54,0.0,0.0205,12,Medium,Medium Stock,Neutral
254,The Improbability of Love,59.45,56.48,-0.05,0.0171,11,Low,Medium Stock,Loss
255,Mothering Sunday,13.34,13.34,0.0,0.0342,11,Medium,Medium Stock,Neutral
